69;4749;22876
72;4757;22876
75;4916;22876
76;4868;22876
73;4975;22876
73;4882;22876
70;4895;22876
70;4903;22876
69;4882;22876
69;4712;22876
68;4873;22876
69;4891;22876
69;4702;22876
72;4884;22876
74;4889;22876
70;4880;22876
69;5163;22876
74;4697;22876
71;4909;22876
72;4709;22876
73;4872;22876
69;4672;22876
72;4890;22876
73;4883;22876
71;4910;22876
71;4880;22876
71;4847;22876
71;4908;22876
71;4884;22876
70;4908;22876
70;4692;22876
72;4685;22876
71;4898;22876
70;4724;22876
68;4917;22876
73;4869;22876
69;4889;22876
71;4896;22876
69;4892;22876
72;4889;22876
74;4875;22876
73;4829;22876
69;4908;22876
70;4884;22876
69;4736;22876
69;4891;22876
69;4674;22876
72;4917;22876
69;4861;22876
75;4882;22876
74;4901;22876
71;4880;22876
68;4908;22876
69;4887;22876
70;4888;22876
69;4881;22876
67;4754;22876
70;4693;22876
72;4884;22876
70;4723;22876
