23;878;7399
23;876;7399
22;876;7399
23;878;7399
23;875;7399
24;875;7399
22;878;7399
24;881;7399
23;875;7399
23;874;7399
24;874;7399
23;874;7399
23;872;7399
24;869;7399
23;869;7399
23;870;7399
22;868;7399
23;873;7399
24;872;7399
23;871;7399
23;892;7399
23;866;7399
22;869;7399
24;875;7399
22;875;7399
23;875;7399
23;886;7399
27;906;7399
24;889;7399
24;887;7399
22;889;7399
23;878;7399
22;886;7399
22;877;7399
23;875;7399
24;875;7399
24;878;7399
23;880;7399
23;874;7399
23;871;7399
23;870;7399
23;893;7399
24;871;7399
26;878;7399
22;875;7399
22;878;7399
24;879;7399
23;878;7399
23;874;7399
23;873;7399
22;876;7399
24;877;7399
22;876;7399
23;880;7399
24;875;7399
24;875;7399
23;875;7399
23;873;7399
23;872;7399
24;871;7399
