87;105;22355
91;105;22355
87;104;22355
85;108;22355
94;105;22355
88;109;22355
86;105;22355
86;110;22355
85;105;22355
93;110;22355
89;104;22355
85;109;22355
86;106;22355
87;109;22355
85;108;22355
89;105;22355
87;106;22355
86;106;22355
86;107;22355
86;108;22355
86;109;22355
86;105;22355
86;108;22355
86;106;22355
86;111;22355
91;106;22355
88;107;22355
89;105;22355
86;106;22355
87;112;22355
90;107;22355
92;107;22355
87;104;22355
88;108;22355
86;105;22355
91;109;22355
91;104;22355
87;109;22355
87;107;22355
91;109;22355
88;107;22355
91;107;22355
90;105;22355
88;106;22355
87;107;22355
87;107;22355
91;108;22355
84;105;22355
85;109;22355
89;105;22355
87;109;22355
88;107;22355
87;109;22355
85;104;22355
85;108;22355
85;106;22355
88;105;22355
87;106;22355
87;105;22355
85;106;22355
